Date,Close,High,Low,Open,Volume
2016-01-04,2089.024658203125,2120.6167135256674,2077.1776374571714,2081.1266443724894,77479500
2016-01-05,2112.71875,2140.3617990654207,2085.0757009345793,2085.0757009345793,96609000
2016-01-06,2085.0751953125,2132.463267933239,2085.0751953125,2104.8202255711412,105370000
2016-01-07,2053.483642578125,2077.177684607873,2053.483642578125,2069.2796705979567,146746500
2016-01-08,2053.483642578125,2069.2796705979567,2045.5856285682091,2045.5856285682091,125820000
2016-01-11,2013.9931640625,2049.534219898897,2013.9931640625,2045.5852136948529,75952000
2016-01-12,2069.279541015625,2089.024574803942,2037.6874869543176,2037.6874869543176,86093500
2016-01-13,2081.127197265625,2100.8722370878795,2077.178189301174,2089.0252131945267,76587000
2016-01-14,2057.43310546875,2077.178144868642,2049.5350897087933,2053.4840975887714,119213500
2016-01-15,2053.483642578125,2077.177684607873,2053.483642578125,2069.2796705979567,68326000
2016-01-18,2049.53466796875,2069.279703305636,2025.840625564487,2029.7896326318642,81317000
2016-01-19,2065.330810546875,2069.2798178328153,2045.5857741171724,2061.3818032609342,54711000
2016-01-20,2057.43310546875,2065.3311212287067,2049.5350897087933,2053.4840975887714,75676000
2016-01-21,2045.5855712890625,2061.381598866584,2045.5855712890625,2061.381598866584,76938000
2016-01-22,2053.483642578125,2069.2796705979567,2045.5856285682091,2061.381656588041,71511000
2016-01-25,2073.229248046875,2089.0252804129464,2057.4332156808036,2085.0762723214284,56835500
2016-01-26,2053.483642578125,2077.177684607873,2049.534635573167,2061.381656588041,57143000
2016-01-27,2069.279541015625,2085.0755680462785,2065.3305342579615,2069.279541015625,122278500
2016-01-28,2077.177490234375,2096.922523411508,2069.279476963522,2069.279476963522,126774000
2016-01-29,2069.279541015625,2089.024574803942,2049.534507227308,2085.0755680462785,175698000
2016-02-01,2089.024658203125,2089.024658203125,2049.5345890499466,2069.279623626536,89371000
2016-02-02,2069.279541015625,2089.024574803942,2065.3305342579615,2089.024574803942,96631000
2016-02-03,2061.381591796875,2069.279605558549,2049.534571154364,2053.4835780352014,65229000
2016-02-04,2077.177490234375,2092.9735167760814,2053.4834504218156,2053.4834504218156,82874000
2016-02-05,2120.616455078125,2144.31049368235,2069.279371435638,2069.279371435638,265133500
2016-02-09,2100.871826171875,2120.616862132137,2085.0757974036655,2116.6678549400845,54516500
2016-02-10,2096.9228515625,2116.6678878295666,2092.9738443090864,2092.9738443090864,69001500
2016-02-11,2108.769775390625,2140.361831950784,2085.0757329705057,2085.0757329705057,159586000
2016-02-12,2096.9228515625,2140.361931350047,2092.9738443090864,2112.7188805761534,121062500
2016-02-15,2108.769775390625,2124.5658036707046,2104.820768320605,2116.667789530665,64452500
2016-02-16,2116.66796875,2136.4130057719217,2104.820946536847,2104.820946536847,100538500
2016-02-17,2116.66796875,2128.5149909631527,2108.769953941231,2116.66796875,76406500
2016-02-18,2116.66796875,2144.31102058069,2116.66796875,2132.4639983675374,146528500
2016-02-19,2061.381591796875,2100.8716606052444,2041.6365573926905,2100.8716606052444,147712000
2016-02-22,2081.127197265625,2092.974221158978,2053.484141514469,2057.4331494789194,55658000
2016-02-23,2069.279541015625,2096.922588319269,2057.4325207426346,2085.0755680462785,92492000
2016-02-24,2057.43310546875,2077.178144868642,2033.7390581888794,2057.43310546875,84799500
2016-02-25,2065.330810546875,2085.0758469765774,2057.432795974994,2069.2798178328153,74008000
2016-02-26,2108.769775390625,2132.4638178107443,2077.177718830466,2077.177718830466,141175000
2016-02-29,2128.515380859375,2136.4133971148826,2112.7193483483593,2132.464388987129,138837000
2016-03-01,2116.66796875,2140.362013176306,2108.769953941231,2128.5149909631527,79590500
2016-03-02,2124.56591796875,2140.361947098629,2104.8208815564008,2136.4129398161595,126069500
2016-03-03,2136.412841796875,2140.3618488981633,2120.6168133917226,2120.6168133917226,115057500
2016-03-04,2144.310546875,2164.0555795349906,2136.4125338110034,2148.259553406998,102347000
2016-03-07,2144.310546875,2156.1575664709944,2132.4635272790056,2148.259553406998,105623000
2016-03-08,2116.66796875,2144.31102058069,2085.075909514925,2132.4639983675374,110122000
2016-03-10,2116.66796875,2124.5659835587685,2077.1778947061566,2104.820946536847,109073500
2016-03-11,2116.66796875,2116.66796875,2116.66796875,2116.66796875,0
2016-03-14,2116.66796875,2116.66796875,2116.66796875,2116.66796875,0
2016-03-15,2144.310546875,2148.259553406998,2132.4635272790056,2144.310546875,70072000
2016-03-16,2148.260009765625,2152.2090171365176,2136.412987652947,2148.260009765625,72058000
2016-03-17,2168.0048828125,2187.749918175091,2152.208854522427,2160.1068686674635,125371000
2016-03-18,2164.056640625,2199.597716839644,2140.3625898152372,2156.1586236884123,120955000
2016-03-21,2175.903076171875,2195.6481131607306,2156.15803918302,2164.056053978562,46224000
2016-03-22,2156.158447265625,2171.9544798463257,2144.3114228300997,2171.9544798463257,47434000
2016-03-23,2132.463623046875,2156.1576633029513,2120.6166029188366,2156.1576633029513,52128000
2016-03-24,2104.820556640625,2124.5655900049837,2092.9735366220098,2116.6675766592402,73214500
2016-03-28,2081.127197265625,2104.8212450523306,2061.3821574433705,2104.8212450523306,59829500
2016-03-29,2065.330810546875,2089.0248542625177,2065.330810546875,2081.1268396906366,88822500
2016-03-30,2073.229248046875,2124.566353236607,2073.229248046875,2073.229248046875,137086000
2016-03-31,2100.871826171875,2104.8208333639272,2081.126790211613,2096.9228189798228,107951000
2016-04-01,2100.871826171875,2104.8208333639272,2085.0757974036655,2100.871826171875,73802500
2016-04-04,2104.820556640625,2120.616583332112,2100.8715499677533,2120.616583332112,49630500
2016-04-05,2104.820556640625,2124.5655900049837,2100.8715499677533,2104.820556640625,83700500
2016-04-06,2061.381591796875,2120.616695009429,2061.381591796875,2100.8716606052444,89264000
2016-04-07,2069.279541015625,2092.9735815616054,2069.279541015625,2085.0755680462785,101318500
2016-04-08,2065.330810546875,2085.0758469765774,2065.330810546875,2069.2798178328153,70473500
2016-04-11,2065.330810546875,2065.330810546875,2065.330810546875,2065.330810546875,0
2016-04-12,2061.381591796875,2073.228612439386,2049.534571154364,2053.4835780352014,56727000
2016-04-13,2061.381591796875,2061.381591796875,2061.381591796875,2061.381591796875,0
2016-04-14,2061.381591796875,2061.381591796875,2061.381591796875,2061.381591796875,0
2016-04-15,2078.101806640625,2078.101806640625,2078.101806640625,2078.101806640625,0
2016-04-18,2078.101806640625,2078.101806640625,2078.101806640625,2078.101806640625,0
2016-04-19,2078.101806640625,2078.101806640625,2078.101806640625,2078.101806640625,0
2016-04-20,2086.06396484375,2094.0260410454434,2070.1398124403627,2074.120850541209,69313000
2016-04-21,2086.06396484375,2090.045002944597,2070.1398124403627,2086.06396484375,62586000
2016-04-22,2090.044921875,2094.025959821429,2078.1018080357144,2086.0638839285716,39264000
2016-04-25,2086.06396484375,2090.045002944597,2058.196698137822,2086.06396484375,62079000
