Date,Close,High,Low,Open,Volume,MA5,MA20,Return,RSI,sentiment_score,positive_ratio,negative_ratio,discussion_volume,Target
2021-02-10,5847.36767578125,5957.217068534366,5830.467769203848,5957.217068534366,44984500,5845.67763671875,5863.4224609375,-0.008595986403782674,41.04048172732638,4.3186,0.5961,0.4039,23,5813.56884765625
2021-02-11,5813.56884765625,5902.293372220771,5779.769028774527,5902.293372220771,36926000,5849.90283203125,5857.507543945312,-0.0057801783638454785,38.88898162354156,4.6389,0.6195,0.3805,14,5745.96826171875
2021-02-15,5745.96826171875,5822.017841653263,5678.368635110293,5771.318121696921,83922000,5830.46796875,5850.958837890625,-0.011628070073471886,37.43315309061956,7.2868,0.6938,0.3062,36,5864.26708984375
2021-02-16,5864.26708984375,5868.492066133263,5771.317611474468,5813.567374369596,47221000,5833.8478515625,5843.353833007813,0.020588145067410135,56.97671995467467,7.059,0.7173,0.2827,27,5830.46728515625
2021-02-17,5830.46728515625,5881.167000679347,5788.217522220335,5822.017332569067,66011500,5820.32783203125,5835.1151123046875,-0.005763687800993456,56.32183296216956,2.941,0.5994,0.4006,27,5691.04345703125
2021-02-18,5691.04345703125,5830.467684263642,5691.04345703125,5788.217918435645,91204000,5789.06298828125,5819.905200195312,-0.023912976663115537,41.08108917800166,2.6605,0.5997,0.4003,30,5767.09326171875
2021-02-19,5767.09326171875,5788.21814546131,5712.168563988095,5729.068470982144,70487500,5779.76787109375,5809.342797851563,0.013363068699385972,53.714297025286136,3.8954,0.6268,0.3732,26,5737.51806640625
2021-02-22,5737.51806640625,5864.267360951307,5737.51806640625,5830.467549072625,68913000,5778.07783203125,5797.090405273438,-0.005128267217181404,48.235276512776956,4.8711,0.6689,0.3311,45,5767.09326171875
2021-02-23,5767.09326171875,5783.993168712798,5724.843494233632,5762.868284970238,58360000,5758.64306640625,5788.21796875,0.005154701905980108,51.44509480445237,4.8156,0.6845,0.3155,20,5682.59326171875
2021-02-24,5682.59326171875,5775.542742579577,5682.59326171875,5767.092789774048,71869000,5729.06826171875,5784.2042236328125,-0.014652095287048805,44.680823589084966,4.3079,0.6805,0.3195,34,5665.69287109375
2021-02-25,5665.69287109375,5720.617559627844,5644.567990888329,5695.267703381339,78688000,5723.99814453125,5780.612963867187,-0.002974063045977804,41.93544978978452,5.775,0.752,0.248,34,5669.91845703125
2021-02-26,5669.91845703125,5754.417986942297,5614.99376258907,5665.693480535698,173631500,5704.56318359375,5772.585522460938,0.0007458198023861939,38.28573503387698,3.8365,0.6341,0.3659,31,5952.9912109375
2021-03-01,5952.9912109375,5952.9912109375,5745.96738600071,5771.317242115419,205539000,5747.6578125,5784.62666015625,0.04992536595569774,55.18667442768929,4.1093,0.667,0.333,100,5927.6416015625
2021-03-02,5927.6416015625,6050.165911217036,5914.966672977548,6016.366101657163,81446500,5779.76748046875,5792.86533203125,-0.004258297799671684,51.48932967635307,6.2847,0.6989,0.3011,26,5914.966796875
2021-03-03,5914.966796875,5986.791393694197,5914.966796875,5969.891488560268,84470000,5826.2421875,5801.315258789063,-0.002138254223089109,53.539794717141696,5.8337,0.6828,0.3172,27,5678.369140625
2021-03-04,5678.369140625,5914.967854817708,5678.369140625,5834.693291073753,120802500,5828.77744140625,5796.879052734375,-0.03999982829573945,44.16056654132719,5.448,0.681,0.319,53,5745.96826171875
2021-03-05,5745.96826171875,5851.592678294462,5678.368635110293,5678.368635110293,111871500,5843.98740234375,5794.555322265625,0.01190467182031596,49.999999993953224,4.6628,0.6977,0.3023,28,5678.369140625
2021-03-08,5678.369140625,5872.718084426153,5678.369140625,5872.718084426153,90883000,5789.06298828125,5786.316650390625,-0.011764617905064667,41.60309198470395,2.7116,0.6467,0.3533,47,5581.19482421875
2021-03-09,5581.19482421875,5674.144321669782,5576.969847061885,5661.469390199187,135582000,5719.7736328125,5773.0080078125,-0.017113067854471087,39.350219662266724,1.901,0.5789,0.4211,45,5665.69287109375
2021-03-10,5665.69287109375,5678.367799217002,5593.868278395321,5678.367799217002,50302000,5669.91884765625,5761.3892822265625,0.015139777330175574,48.86360153515565,2.9742,0.6356,0.3644,26,5716.3935546875
2021-03-12,5716.3935546875,5813.568020140428,5674.14378709927,5809.343043381606,74328000,5677.52373046875,5754.840576171875,0.008948717261471062,47.674415994185104,4.8517,0.6835,0.3165,22,5631.8935546875
2021-03-15,5631.8935546875,5762.867823401163,5631.8935546875,5758.642846991045,57416000,5654.7087890625,5745.756811523437,-0.014782047315603286,45.38744411236952,7.7767,0.7222,0.2778,46,5598.09375
2021-03-16,5598.09375,5669.918349056604,5593.868773584906,5669.918349056604,70755500,5638.6537109375,5738.3630859375,-0.006001499204360439,42.64702820119107,4.7812,0.6587,0.3413,42,5585.4189453125
2021-03-17,5585.4189453125,5631.893686914948,5581.193968803186,5619.218757387008,71474500,5639.49853515625,5724.420678710938,-0.0022641286933610116,45.49019305107127,4.3719,0.6865,0.3135,42,5665.69287109375
2021-03-18,5665.69287109375,5678.367799217002,5585.418326313153,5593.868278395321,70067500,5639.49853515625,5716.181958007813,0.01437205097186478,49.99999999386363,5.6794,0.729,0.271,35,5712.16845703125
2021-03-19,5712.16845703125,5720.618410370053,5598.094086957401,5720.618410370053,125853000,5638.653515625,5717.238208007812,0.008202983641174333,51.785729020718485,4.6337,0.7249,0.2751,43,5593.86962890625
2021-03-22,5593.86962890625,5644.569353639539,5585.419674784035,5610.76953715068,67523500,5631.04873046875,5708.5770263671875,-0.020709968379763577,32.365162535166405,2.6032,0.6072,0.3928,47,5547.39453125
2021-03-23,5547.39453125,5678.368811881188,5538.944577660891,5678.368811881188,127762500,5620.90888671875,5699.070849609375,-0.008308219665344119,31.707313631349507,2.5559,0.6277,0.3723,54,5441.77001953125
