Model,Config,MAPE (%),MAPE Std (%),RMSE (IDR),MAE (IDR)
LSTM,K1,5.89,0.08,456.11,414.17
GRU,K1,3.11,0.12,270.4,210.33
CNN,K1,5.17,0.98,470.3,368.38
LSTM,K2,2.73,0.05,277.04,188.31
GRU,K2,2.83,0.24,272.32,195.18
CNN,K2,3.52,0.65,335.03,244.73
LSTM,K3,2.61,0.07,253.91,179.6
GRU,K3,2.45,0.11,230.15,169.05
CNN,K3,3.4,0.29,306.43,236.25
LSTM,K4,2.75,0.06,275.89,189.43
GRU,K4,2.23,0.17,213.69,153.36
CNN,K4,3.51,0.3,319.36,241.96
LSTM,K5,2.59,0.02,255.39,177.6
GRU,K5,2.5,0.08,245.99,171.63
CNN,K5,5.25,1.13,486.97,379.13
