Date,sentiment_score,positive_ratio,negative_ratio,discussion_volume
2021-07-01,-0.0143,0.0159,0.9841,40
2021-07-02,-0.0072,0.0079,0.9921,41
2021-07-05,-0.0036,0.004,0.996,42
2021-07-06,-0.0018,0.002,0.998,44
2021-07-07,-0.0009,0.001,0.999,31
2021-07-08,-0.0004,0.0005,0.9995,39
2021-07-09,-0.0002,0.0002,0.9998,22
2021-07-12,-0.015,0.0163,0.9837,31
2021-07-13,-0.0075,0.0081,0.9919,26
2021-07-14,-0.0037,0.0041,0.9959,31
2021-07-15,-0.0019,0.002,0.998,21
2021-07-16,-0.0009,0.001,0.999,16
2021-07-19,-0.0005,0.0005,0.9995,30
2021-07-20,-0.0002,0.0003,0.9997,7
2021-07-21,-0.0001,0.0001,0.9999,29
2021-07-22,-0.0001,0.0001,0.9999,53
2021-07-23,-0.0159,0.0179,0.9821,56
2021-07-26,-0.0155,0.017,0.983,62
2021-07-27,-0.0229,0.0252,0.9748,30
2021-07-28,-0.0205,0.0224,0.9776,51
2021-07-29,-0.0103,0.0112,0.9888,30
2021-07-30,-0.0108,0.0116,0.9884,83
2021-08-02,-0.0165,0.0181,0.9819,122
2021-08-03,-0.0082,0.0091,0.9909,48
2021-08-04,-0.0197,0.0224,0.9776,28
2021-08-05,-0.0299,0.0344,0.9656,43
2021-08-06,-0.015,0.0172,0.9828,35
2021-08-09,-0.0075,0.0086,0.9914,76
2021-08-10,-0.0118,0.0131,0.9869,57
2021-08-11,-0.0059,0.0065,0.9935,11
2021-08-12,-0.0029,0.0033,0.9967,51
2021-08-13,-0.0015,0.0016,0.9984,58
2021-08-16,-0.0099,0.0106,0.9894,51
2021-08-17,-0.0049,0.0053,0.9947,4
2021-08-18,-0.0086,0.0093,0.9907,75
2021-08-19,-0.0043,0.0047,0.9953,45
2021-08-20,-0.0021,0.0023,0.9977,33
2021-08-23,-0.0011,0.0012,0.9988,34
2021-08-24,-0.0005,0.0006,0.9994,28
2021-08-25,-0.0003,0.0003,0.9997,36
2021-08-26,-0.0102,0.0113,0.9887,45
2021-08-27,-0.0051,0.0056,0.9944,26
2021-08-30,-0.0026,0.0028,0.9972,26
2021-08-31,-0.0209,0.0241,0.9759,22
2021-09-01,-0.0105,0.0121,0.9879,28
2021-09-02,-0.0052,0.006,0.994,21
2021-09-03,-0.0026,0.003,0.997,24
2021-09-06,-0.0013,0.0015,0.9985,46
2021-09-07,-0.0007,0.0008,0.9992,24
2021-09-08,-0.0003,0.0004,0.9996,48
2021-09-09,-0.0002,0.0002,0.9998,26
2021-09-10,-0.0001,0.0001,0.9999,29
2021-09-13,-0.0,0.0,1.0,22
2021-09-14,-0.0,0.0,1.0,35
2021-09-15,-0.0,0.0,1.0,14
2021-09-16,-0.0183,0.0208,0.9792,24
2021-09-17,-0.0091,0.0104,0.9896,13
2021-09-20,-0.0145,0.0158,0.9842,47
2021-09-21,-0.0073,0.0079,0.9921,22
2021-09-22,-0.0036,0.004,0.996,21
2021-09-23,-0.0018,0.002,0.998,34
2021-09-24,-0.0009,0.001,0.999,28
2021-09-27,-0.0122,0.0133,0.9867,39
2021-09-28,-0.0277,0.0317,0.9683,20
2021-09-29,-0.0138,0.0158,0.9842,26
2021-09-30,-0.0166,0.0186,0.9814,94
2021-10-01,-0.0083,0.0093,0.9907,67
2021-10-04,-0.0041,0.0046,0.9954,51
2021-10-05,-0.0021,0.0023,0.9977,19
2021-10-06,-0.001,0.0012,0.9988,44
2021-10-07,-0.0005,0.0006,0.9994,39
2021-10-08,-0.0003,0.0003,0.9997,39
2021-10-11,-0.0001,0.0001,0.9999,36
2021-10-12,-0.0001,0.0001,0.9999,46
2021-10-13,-0.0066,0.0073,0.9927,274
2021-10-14,-0.0081,0.0088,0.9912,97
2021-10-15,-0.0175,0.0199,0.9801,97
2021-10-18,-0.0146,0.0162,0.9838,80
2021-10-19,-0.0073,0.0081,0.9919,66
2021-10-20,-0.0239,0.0279,0.9721,21
2021-10-21,-0.0199,0.0225,0.9775,58
2021-10-22,-0.0099,0.0113,0.9887,45
2021-10-25,-0.005,0.0056,0.9944,56
2021-10-26,-0.0025,0.0028,0.9972,45
2021-10-27,-0.0012,0.0014,0.9986,27
2021-10-28,-0.0006,0.0007,0.9993,37
2021-10-29,-0.0003,0.0004,0.9996,21
2021-11-01,-0.0002,0.0002,0.9998,32
2021-11-02,-0.0001,0.0001,0.9999,50
2021-11-03,-0.0,0.0,1.0,20
2021-11-04,-0.0,0.0,1.0,22
2021-11-05,-0.0,0.0,1.0,26
2021-11-08,-0.0068,0.0073,0.9927,69
