Date,sentiment_score,positive_ratio,negative_ratio,discussion_volume
2021-07-07,3.5528,0.6417,0.3583,28
2021-07-08,4.7738,0.6296,0.3704,34
2021-07-09,4.6539,0.6759,0.3241,18
2021-07-12,7.2603,0.6713,0.3287,30
2021-07-13,7.1591,0.6538,0.3462,22
2021-07-14,6.5795,0.6602,0.3398,27
2021-07-15,7.3812,0.6985,0.3015,19
2021-07-16,7.2236,0.7584,0.2416,11
2021-07-19,4.8028,0.6708,0.3292,24
2021-07-20,9.2381,0.6926,0.3074,7
2021-07-21,6.7503,0.7063,0.2937,25
2021-07-22,7.3872,0.7511,0.2489,49
2021-07-23,7.3533,0.7529,0.2471,53
2021-07-26,8.0357,0.7127,0.2873,58
2021-07-27,4.6172,0.6667,0.3333,29
2021-07-28,3.6228,0.6473,0.3527,43
2021-07-29,5.1585,0.694,0.306,27
2021-07-30,6.0535,0.6955,0.3045,66
2021-08-02,4.8284,0.6713,0.3287,102
2021-08-03,4.7153,0.6562,0.3438,39
2021-08-04,7.4682,0.7144,0.2856,22
2021-08-05,11.7176,0.7663,0.2337,33
2021-08-06,10.9497,0.7468,0.2532,33
2021-08-09,9.9125,0.7446,0.2554,66
2021-08-10,6.657,0.7025,0.2975,53
2021-08-11,12.4026,0.7401,0.2599,9
2021-08-12,8.0004,0.6769,0.3231,44
2021-08-13,9.7932,0.7297,0.2703,46
2021-08-16,11.847,0.7285,0.2715,44
2021-08-17,56.6735,0.8643,0.1357,2
2021-08-18,30.2113,0.7679,0.2321,67
2021-08-19,17.0823,0.6813,0.3187,37
2021-08-20,12.2347,0.7206,0.2794,25
2021-08-23,8.4055,0.7041,0.2959,32
2021-08-24,5.0735,0.6377,0.3623,21
2021-08-25,5.5118,0.6292,0.3708,29
2021-08-26,3.8147,0.6041,0.3959,38
2021-08-27,3.6532,0.5975,0.4025,22
2021-08-30,8.0746,0.7078,0.2922,22
2021-08-31,6.3123,0.6789,0.3211,20
2021-09-01,8.0107,0.7323,0.2677,28
2021-09-02,3.9189,0.5884,0.4116,18
2021-09-03,8.4901,0.7228,0.2772,21
2021-09-06,9.7275,0.7218,0.2782,43
2021-09-07,6.8885,0.6791,0.3209,22
2021-09-08,4.7154,0.6284,0.3716,45
2021-09-09,4.7482,0.6097,0.3903,22
2021-09-10,11.5339,0.7664,0.2336,26
2021-09-13,9.286,0.6479,0.3521,17
2021-09-14,9.8344,0.6989,0.3011,32
2021-09-15,4.7947,0.5638,0.4362,14
2021-09-16,3.1399,0.5569,0.4431,20
2021-09-17,4.917,0.6875,0.3125,11
2021-09-20,3.615,0.6295,0.3705,42
2021-09-21,0.9231,0.41,0.59,21
2021-09-22,2.6878,0.53,0.47,20
2021-09-23,5.1134,0.636,0.364,31
2021-09-24,6.5311,0.678,0.322,25
2021-09-27,3.5086,0.5473,0.4527,36
2021-09-28,2.3543,0.5237,0.4763,20
2021-09-29,1.8456,0.5535,0.4465,24
2021-09-30,3.3414,0.6386,0.3614,76
2021-10-01,2.3785,0.5981,0.4019,52
2021-10-04,7.7172,0.7121,0.2879,46
2021-10-05,4.5461,0.6061,0.3939,16
2021-10-06,5.0964,0.6583,0.3417,38
2021-10-07,5.3095,0.6821,0.3179,34
2021-10-08,7.2931,0.7528,0.2472,34
2021-10-11,5.8318,0.699,0.301,31
2021-10-12,6.132,0.7048,0.2952,38
2021-10-13,6.0092,0.7291,0.2709,219
2021-10-14,6.7041,0.7506,0.2494,79
2021-10-15,5.2365,0.7086,0.2914,75
2021-10-18,6.999,0.7516,0.2484,73
2021-10-19,5.7329,0.6931,0.3069,52
2021-10-20,6.601,0.6521,0.3479,18
2021-10-21,6.4751,0.6961,0.3039,50
2021-10-22,7.8186,0.7428,0.2572,38
2021-10-25,6.2924,0.7175,0.2825,52
2021-10-26,6.4378,0.7562,0.2438,39
2021-10-27,3.5454,0.6638,0.3362,21
2021-10-28,4.1024,0.5641,0.4359,28
2021-10-29,4.9598,0.6768,0.3232,19
2021-11-01,6.2701,0.7134,0.2866,28
2021-11-02,5.3882,0.6616,0.3384,41
2021-11-03,6.2304,0.7425,0.2575,17
2021-11-04,10.5921,0.8435,0.1565,18
2021-11-05,6.4665,0.6717,0.3283,22
2021-11-08,6.9062,0.6942,0.3058,60
2021-11-09,5.44,0.6943,0.3057,36
2021-11-10,5.6415,0.5863,0.4137,23
2021-11-11,4.2558,0.6431,0.3569,20
2021-11-12,3.5295,0.611,0.389,19
2021-11-15,4.9879,0.6086,0.3914,33
2021-11-16,5.6924,0.6956,0.3044,23
2021-11-17,4.8393,0.7007,0.2993,17
2021-11-18,2.2397,0.5304,0.4696,25
2021-11-19,2.9779,0.6541,0.3459,9
2021-11-22,3.2973,0.677,0.323,30
2021-11-23,4.9497,0.6915,0.3085,17
2021-11-24,4.7825,0.7303,0.2697,13
2021-11-25,8.3646,0.8318,0.1682,15
2021-11-26,3.4972,0.6512,0.3488,34
2021-11-29,3.6721,0.6351,0.3649,42
2021-11-30,2.4312,0.5529,0.4471,17
2021-12-01,2.0554,0.5889,0.4111,16
2021-12-02,1.2473,0.5236,0.4764,24
2021-12-03,2.6632,0.5844,0.4156,31
2021-12-06,4.2745,0.601,0.399,34
2021-12-07,7.7113,0.6894,0.3106,18
2021-12-08,5.3743,0.6629,0.3371,22
2021-12-09,5.6828,0.6856,0.3144,24
2021-12-10,3.7611,0.6359,0.3641,29
2021-12-13,4.0793,0.6469,0.3531,38
2021-12-14,2.6878,0.6012,0.3988,18
2021-12-15,5.1171,0.6816,0.3184,21
2021-12-16,6.7202,0.7103,0.2897,23
2021-12-17,5.5183,0.6766,0.3234,42
2021-12-20,5.9461,0.7027,0.2973,59
2021-12-21,3.0617,0.5619,0.4381,19
2021-12-22,4.6459,0.6309,0.3691,20
2021-12-23,6.0364,0.6791,0.3209,33
2021-12-24,7.1834,0.7146,0.2854,28
2021-12-27,9.0902,0.7611,0.2389,26
2021-12-28,7.4296,0.7472,0.2528,15
2021-12-29,4.937,0.6236,0.3764,18
2021-12-30,1.4951,0.581,0.419,13
2021-12-31,4.2062,0.6996,0.3004,11
2022-01-03,5.8801,0.7411,0.2589,23
2022-01-04,7.4289,0.7744,0.2256,26
2022-01-05,4.6736,0.6928,0.3072,36
2022-01-06,5.3217,0.6612,0.3388,27
2022-01-07,5.8604,0.7106,0.2894,50
2022-01-10,5.6939,0.6744,0.3256,47
2022-01-11,3.8197,0.6206,0.3794,30
2022-01-12,4.9738,0.7009,0.2991,32
2022-01-13,3.5185,0.6467,0.3533,27
2022-01-14,4.1282,0.6907,0.3093,49
2022-01-17,5.4804,0.6995,0.3005,48
2022-01-18,3.0086,0.6335,0.3665,37
2022-01-19,2.3663,0.5776,0.4224,23
2022-01-20,6.1561,0.7243,0.2757,31
2022-01-21,6.1903,0.7193,0.2807,49
2022-01-24,5.5316,0.6495,0.3505,69
2022-01-25,2.7805,0.5591,0.4409,32
2022-01-26,1.498,0.5117,0.4883,28
2022-01-27,3.1347,0.598,0.402,38
2022-01-28,4.4636,0.649,0.351,40
2022-01-31,5.3778,0.7091,0.2909,39
2022-02-01,9.6333,0.7712,0.2288,6
2022-02-02,5.4921,0.6615,0.3385,29
2022-02-03,5.3524,0.6907,0.3093,25
2022-02-04,6.7027,0.7802,0.2198,23
2022-02-07,10.8015,0.8243,0.1757,38
2022-02-08,8.0298,0.7915,0.2085,29
2022-02-09,8.5154,0.792,0.208,53
2022-02-10,8.1055,0.7564,0.2436,43
2022-02-11,6.0185,0.6731,0.3269,39
2022-02-14,6.8458,0.7143,0.2857,45
2022-02-15,6.7061,0.7372,0.2628,25
2022-02-16,9.1008,0.8221,0.1779,43
2022-02-17,7.6312,0.7444,0.2556,33
2022-02-18,6.114,0.7122,0.2878,25
2022-02-21,22.146,0.7377,0.2623,38
2022-02-22,13.4362,0.6488,0.3512,25
2022-02-23,12.2581,0.702,0.298,49
2022-02-24,6.3986,0.6322,0.3678,48
2022-02-25,6.7475,0.7404,0.2596,33
2022-02-28,6.5737,0.6368,0.3632,15
2022-03-01,6.634,0.7275,0.2725,11
2022-03-02,7.1392,0.6971,0.3029,15
2022-03-03,3.9296,0.6485,0.3515,5
2022-03-04,4.3939,0.7066,0.2934,17
2022-03-07,3.0131,0.6033,0.3967,34
2022-03-08,2.2935,0.5709,0.4291,26
2022-03-09,3.8252,0.6454,0.3546,25
2022-03-10,3.0226,0.6227,0.3773,20
2022-03-11,5.4663,0.6614,0.3386,20
2022-03-14,5.6796,0.6927,0.3073,58
2022-03-15,4.9278,0.7064,0.2936,25
2022-03-16,8.2506,0.7032,0.2968,30
2022-03-17,9.6233,0.7667,0.2333,53
2022-03-18,7.7776,0.75,0.25,45
2022-03-21,7.0235,0.7179,0.2821,35
2022-03-22,4.2852,0.6402,0.3598,16
2022-03-23,6.0927,0.6994,0.3006,29
2022-03-24,5.9819,0.705,0.295,38
2022-03-25,5.2132,0.6858,0.3142,27
2022-03-28,6.7775,0.6793,0.3207,55
2022-03-29,7.6856,0.7146,0.2854,24
2022-03-30,9.6988,0.7573,0.2427,25
2022-03-31,8.1941,0.744,0.256,26
2022-04-01,4.9681,0.6514,0.3486,34
2022-04-04,8.2089,0.7103,0.2897,26
2022-04-05,11.4131,0.7996,0.2004,18
2022-04-06,9.0528,0.8209,0.1791,19
2022-04-07,7.744,0.8271,0.1729,18
2022-04-08,4.8644,0.7396,0.2604,23
2022-04-11,6.8109,0.7544,0.2456,39
2022-04-12,8.6721,0.7772,0.2228,30
2022-04-13,10.4156,0.8004,0.1996,17
2022-04-14,6.5658,0.678,0.322,27
2022-04-15,9.6579,0.714,0.286,8
2022-04-18,5.6522,0.6678,0.3322,37
2022-04-19,5.0248,0.6754,0.3246,41
2022-04-20,2.9849,0.6377,0.3623,40
2022-04-21,7.3923,0.7372,0.2628,49
2022-04-22,8.6761,0.7335,0.2665,37
2022-04-25,12.3921,0.7538,0.2462,62
2022-04-26,7.4885,0.6672,0.3328,31
2022-04-27,5.8751,0.6518,0.3482,33
2022-04-28,9.9109,0.7259,0.2741,30
2022-04-29,12.4554,0.738,0.262,8
2022-05-02,7.4673,0.6606,0.3394,12
2022-05-03,15.8587,0.8303,0.1697,4
2022-05-04,8.3738,0.7485,0.2515,3
2022-05-05,23.6313,0.7076,0.2924,3
2022-05-06,16.5657,0.6038,0.3962,4
2022-05-09,9.5081,0.5802,0.4198,97
2022-05-10,5.3835,0.575,0.425,86
2022-05-11,3.3981,0.6033,0.3967,38
2022-05-12,1.8702,0.535,0.465,75
2022-05-13,2.2726,0.5882,0.4118,53
2022-05-16,8.7027,0.7004,0.2996,16
2022-05-17,6.6695,0.7365,0.2635,22
2022-05-18,3.8889,0.6102,0.3898,31
2022-05-19,4.0488,0.61,0.39,41
2022-05-20,6.2208,0.6621,0.3379,28
2022-05-23,10.6437,0.6195,0.3805,26
2022-05-24,7.2912,0.5955,0.4045,28
2022-05-25,6.1577,0.6213,0.3787,17
2022-05-26,12.936,0.7392,0.2608,7
2022-05-27,8.0286,0.6931,0.3069,17
2022-05-30,8.1909,0.6966,0.3034,30
2022-05-31,6.0076,0.7178,0.2822,23
2022-06-01,8.0038,0.8589,0.1411,1
2022-06-02,4.7554,0.7211,0.2789,24
2022-06-03,4.3036,0.6939,0.3061,9
2022-06-06,8.4283,0.7435,0.2565,29
2022-06-07,3.7681,0.556,0.444,19
2022-06-08,3.4396,0.6113,0.3887,21
2022-06-09,7.2531,0.753,0.247,19
2022-06-10,6.8609,0.7515,0.2485,24
2022-06-13,4.5773,0.6668,0.3332,67
2022-06-14,4.7365,0.6459,0.3541,24
2022-06-15,3.0468,0.573,0.427,14
2022-06-16,3.6203,0.6394,0.3606,17
2022-06-17,2.7569,0.6274,0.3726,26
2022-06-20,8.6363,0.7211,0.2789,27
2022-06-21,10.2314,0.7696,0.2304,11
2022-06-22,7.5897,0.7084,0.2916,17
2022-06-23,5.1054,0.6979,0.3021,16
2022-06-24,6.6777,0.724,0.276,12
2022-06-27,4.0802,0.6536,0.3464,24
2022-06-28,6.4687,0.7554,0.2446,21
2022-06-29,4.9661,0.6902,0.3098,24
2022-06-30,4.7256,0.6451,0.3549,40
2022-07-01,5.5596,0.6825,0.3175,25
2022-07-04,3.9004,0.6575,0.3425,68
2022-07-05,3.7342,0.6749,0.3251,26
2022-07-06,6.6671,0.7124,0.2876,20
2022-07-07,8.8414,0.825,0.175,16
2022-07-08,9.0125,0.7696,0.2304,21
2022-07-11,7.1453,0.6925,0.3075,26
2022-07-12,4.3435,0.5963,0.4037,12
2022-07-13,2.2479,0.5876,0.4124,19
2022-07-14,3.4677,0.5438,0.4562,24
2022-07-15,0.7525,0.4992,0.5008,22
2022-07-18,4.8839,0.5889,0.4111,28
2022-07-19,6.3297,0.723,0.277,14
2022-07-20,6.7025,0.71,0.29,33
2022-07-21,5.8012,0.705,0.295,10
2022-07-22,7.5435,0.7096,0.2904,7
2022-07-25,17.0321,0.701,0.299,13
2022-07-26,11.0875,0.7791,0.2209,7
2022-07-27,13.8771,0.8062,0.1938,24
2022-07-28,13.4385,0.8031,0.1969,20
2022-07-29,9.8928,0.7652,0.2348,22
2022-08-01,7.4362,0.6683,0.3317,21
2022-08-02,9.4603,0.7717,0.2283,16
2022-08-03,10.3447,0.6775,0.3225,12
2022-08-04,7.4004,0.686,0.314,36
2022-08-05,4.5514,0.623,0.377,25
2022-08-08,5.5101,0.6865,0.3135,24
2022-08-09,2.7278,0.629,0.371,21
2022-08-10,2.9692,0.5645,0.4355,38
2022-08-11,2.3603,0.5899,0.4101,13
2022-08-12,7.7357,0.6283,0.3717,9
2022-08-15,8.1637,0.6402,0.3598,23
2022-08-16,6.0523,0.6663,0.3337,13
2022-08-17,6.5817,0.6665,0.3335,3
2022-08-18,4.2376,0.6409,0.3591,13
2022-08-19,8.6813,0.6955,0.3045,12
2022-08-22,5.604,0.6408,0.3592,29
2022-08-23,3.582,0.6204,0.3796,10
2022-08-24,11.3396,0.7269,0.2731,12
2022-08-25,6.1264,0.6589,0.3411,22
2022-08-26,6.6369,0.7104,0.2896,21
2022-08-29,8.7436,0.7794,0.2206,33
2022-08-30,5.3299,0.6992,0.3008,21
2022-08-31,4.1591,0.6309,0.3691,16
2022-09-01,4.0795,0.6488,0.3512,15
2022-09-02,11.4148,0.6994,0.3006,4
2022-09-05,9.778,0.6747,0.3253,40
2022-09-06,7.0223,0.6707,0.3293,15
2022-09-07,4.6424,0.6762,0.3238,22
2022-09-08,3.2881,0.6667,0.3333,35
2022-09-09,7.7659,0.7807,0.2193,19
2022-09-12,4.4494,0.7029,0.2971,16
2022-09-13,5.4005,0.6993,0.3007,23
2022-09-14,5.3353,0.6925,0.3075,35
2022-09-15,5.3436,0.7384,0.2616,51
2022-09-16,5.3249,0.6961,0.3039,26
2022-09-19,4.7849,0.6886,0.3114,69
2022-09-20,3.1467,0.6487,0.3513,23
2022-09-21,5.2922,0.7191,0.2809,19
2022-09-22,7.0544,0.7442,0.2558,13
2022-09-23,9.7672,0.7721,0.2279,10
2022-09-26,10.3693,0.7289,0.2711,35
2022-09-27,11.8291,0.6978,0.3022,15
2022-09-28,6.5931,0.5989,0.4011,14
2022-09-29,6.778,0.6328,0.3672,9
2022-09-30,4.3033,0.6573,0.3427,22
2022-10-03,3.9786,0.6816,0.3184,17
2022-10-04,2.8682,0.6533,0.3467,16
2022-10-05,3.5608,0.6933,0.3067,15
2022-10-06,7.0767,0.68,0.32,9
2022-10-07,5.4199,0.66,0.34,25
2022-10-10,4.8783,0.6336,0.3664,28
2022-10-11,3.2517,0.5668,0.4332,20
2022-10-12,7.6718,0.6405,0.3595,14
2022-10-13,3.7425,0.5536,0.4464,15
2022-10-14,8.3643,0.7351,0.2649,12
